title,published_date,position,video_id,duration,view_count,like_count,comment_count
Cuál es nuestra SPICE GIRL FAVORITA,2022-03-11T11:45:01Z,43,_MT9Evu0ht0,0:08:56,8768,195,7
La obsesión de LALA CHUS por las TELENOVELAS,2022-03-10T11:45:02Z,44,peYW1kfZWeA,0:12:23,20450,491,8
Nuestros MOMENTOS de FAN más LAMENTABLES,2022-03-09T10:45:01Z,45,uHth8CCSaEs,0:09:31,8591,186,0
La colección de FUNKOS de EDURNE,2022-03-08T17:30:04Z,46,biBcMO9f7j8,0:06:32,6481,167,21
EDURNE cantaba la canción de YO SOY BEA y fue a EUROVISIÓN,2022-03-08T11:45:00Z,47,M1CSXxq21zg,0:15:03,11980,226,9
VICTORIA MARTÍN no puede entrar en un CASINO,2022-03-07T10:45:02Z,48,qb54ZXrrNyw,0:10:54,18004,318,8
SER FRIKIS con EDURNE | Estirando el chicle 4x21,2022-03-06T12:00:15Z,49,rnkCy8g57wQ,1:16:14,267270,8155,277
La DECISIÓN de SOFÍA CRISTO de PARAR,2022-03-04T11:45:02Z,50,_Wc98YTrcVg,0:11:25,6884,124,9
A PATRICIA ESPEJO se le olvidó el gesto de TRAGAR,2022-03-03T11:45:01Z,51,Y4r8lyN4jdQ,0:13:39,9986,236,11
VIVIR de la NOCHE,2022-03-02T10:45:00Z,52,O3a__4DTgwc,0:08:50,7296,143,0
El proceso de RECUPERACIÓN de SOFÍA CRISTO,2022-03-01T10:45:00Z,53,CgNXJV89ngg,0:09:44,9358,188,6
VIVIR o MORIR con SOFÍA CRISTO | Estirando el chicle 4x20,2022-02-27T12:00:11Z,54,W7UTzrvCMnU,1:00:17,213255,6879,399
La INFANCIA nos marca PARA SIEMPRE,2022-02-25T11:45:01Z,55,LhTK4LIG6xY,0:09:44,7918,199,4
DIETAS ABSURDAS y RETIROS ESPIRITUALES,2022-02-24T17:45:01Z,56,aTyfORpNPYM,0:12:00,9343,248,11
PATRICIA ESPEJO era una niña ADORABLE,2022-02-24T11:45:00Z,57,EpYA_wiSLR8,0:20:21,24855,874,37
El PEAJE que pagamos por NUESTRO PESO,2022-02-23T11:45:02Z,58,H74I3cK8USU,0:12:03,9256,292,9
REFERENTES de la INFANCIA,2022-02-22T11:45:04Z,59,nPcl5ZzXCcY,0:09:29,7450,174,5
HAMBRE EMOCIONAL con MARA JIMÉNEZ (CROQUETAMENTE) | Estirando el chicle 4x19,2022-02-20T12:00:10Z,60,RtSyvivkBko,1:16:56,289085,11019,562
KARINA debería ser MILLONARIA,2022-02-18T10:45:00Z,61,Tb2CrkcPaLc,0:13:11,7201,228,8
KARINA ha viajado por TODO EL MUNDO,2022-02-17T10:45:02Z,62,V75EholAzsE,0:11:31,3942,103,5
La madre de LALA CHUS se encontró con KARINA en misa,2022-02-16T18:00:33Z,63,pr7xGUL4Rkk,0:07:26,8124,229,7
KARINA ganó a LOS BEATLES en las listas de ventas,2022-02-16T11:45:04Z,64,hQ2LMMac-xM,0:09:44,2744,116,7
Como KARINA esquivaba situaciones INCÓMODAS en los años 60,2022-02-15T11:45:02Z,65,bZVXH5Ror3w,0:17:00,8890,260,17
BAÚL DE LOS RECUERDOS con KARINA | Estirando el chicle 4x18,2022-02-13T12:00:13Z,66,0yaRO4Q7lYc,1:06:40,202225,9292,584
ANA MILÁN es una mujer INDEPENDIENTE,2022-02-11T10:45:01Z,67,_FACqqzLGc8,0:09:57,13535,353,16
PERFECTOS NARCISISTAS y RELACIONES TÓXICAS,2022-02-10T10:45:01Z,68,C77TNUk3CWs,0:11:34,13786,385,9
No te SEPARES ni un MINUTO de TI MISMA,2022-02-09T17:30:03Z,69,lyzel0BkvTw,0:08:32,11217,369,14
Las preguntas de HENAR ÁLVAREZ a su hijo,2022-02-09T10:45:03Z,70,L6zOL4djCuY,0:12:07,72737,1406,37
ANA MILÁN ha ligado con MÓNICA NARANJO,2022-02-08T10:45:00Z,71,c28E6r9cNbk,0:08:43,50863,1133,36
La madurez de SER CORDIAL,2022-02-07T12:45:00Z,72,JTPIiKNBE1E,0:10:16,15138,498,19
MAGNÉTICAS Y SEDUCTORAS con ANA MILÁN | Estirando el chicle 4x17,2022-02-06T12:00:28Z,73,EiuExbTRQns,1:09:47,512563,19844,1081
Cuando SARA SÁLAMO se tiró en PARACAÍDAS,2022-02-04T10:45:01Z,74,vgwVFyonbPU,0:08:20,6948,121,6
La DEPRESIÓN POSPARTO,2022-02-03T10:45:04Z,75,reL8DmEsFpg,0:13:14,10705,218,9
PATRICIA ESPEJO es un poco COBARDICAS,2022-02-02T10:45:00Z,76,YPiFAqdtlW8,0:19:04,14757,340,9
Lo que no se suele HABLAR de la MATERNIDAD,2022-02-01T09:45:02Z,77,kGFYwG8JZ_s,0:09:46,11259,247,8
Plantar cara a los MIEDOS y elegir las LUCHAS,2022-01-31T14:30:00Z,78,2IAD_peRWl8,0:10:20,6806,152,6
ELIGE TUS BATALLAS con SARA SÁLAMO | Estirando el chicle 4x16,2022-01-30T12:00:11Z,79,bG2goAiLDxA,1:13:56,256156,7924,280
Recuerdos FELICES y PROPÓSITOS del AÑO NUEVO,2022-01-28T10:45:01Z,80,Rp5WD5ODun8,0:10:46,7373,197,7
El 2021 de LALACHUS fue FUERTE,2022-01-27T10:45:02Z,81,oImSD5GekZk,0:20:35,25888,579,13
MALAS NOTICIAS y OPINIONES no pedidas,2022-01-26T09:45:02Z,82,rgdz6fwzCss,0:14:36,22858,696,54
"2021, el año en el que casi NOS DA UN JARI",2022-01-25T10:45:01Z,83,VZ9Z-gjEJ3M,0:09:30,17160,513,12
ES PARA REFLEXIONAR | Estirando el chicle 4x15,2022-01-23T12:00:10Z,84,6U8uUBwYvH8,1:09:53,301059,11577,739
La HÚNGARA fue madre con 15 AÑOS,2021-12-26T10:45:01Z,85,os-my4ZFSyo,0:11:06,80940,1705,34
Cuando C TANGANA conoció a LA HÚNGARA,2021-12-23T11:45:01Z,86,SYQtTLnAALQ,0:08:40,65233,1332,38
Hay que TIRAR PALANTE,2021-12-22T11:45:03Z,87,zPAShsCrh7c,0:10:06,7179,172,2
A LA HÚNGARA la descubrieron en un KARAOKE,2021-12-21T11:45:01Z,88,yOyaAVi22-Y,0:12:11,9563,210,3
Cuando UN SEÑOR le dijo a HENAR ÁLVAREZ que NO TIENE GRACIA,2021-12-20T11:45:01Z,89,TLUrKQnGhNw,0:11:19,69922,1765,142
EL ARTE con LA HÚNGARA | Estirando el chicle 4x14,2021-12-19T12:00:11Z,90,8iH97Qky9o4,1:04:02,261212,9866,455
Las PRINGADAS de la CLASE,2021-12-17T11:45:01Z,91,KI8W8ANmXhs,0:13:16,10165,215,7
VÍCTIMAS de los RUMORES,2021-12-16T11:45:00Z,92,ESEYOGwUcp8,0:20:06,11310,248,2
Informarse BIEN y FAKE NEWS MAL,2021-12-15T11:45:00Z,93,PGg6ko7oSYs,0:20:05,6877,133,4
"LALA CHUS, MENTIROSA INTERNACIONAL",2021-12-14T17:15:02Z,94,baRwE9dodoM,0:12:45,38970,874,15
EL ÚLTIMO SHOW - Estirando el chicle LIVE,2021-12-14T12:00:13Z,95,bJZsB6hzrhM,0:01:23,42281,2638,117
INTENSAS e INFORMADAS con MÓNICA CARRILLO | Estirando el chicle 4x13,2021-12-12T12:00:12Z,96,j8hvjM6K71g,1:14:15,295111,8766,317
SER ESCRITORA y tener HISTORIAS QUE CONTAR,2021-12-11T11:45:03Z,97,v2tiz-Jy8XE,0:19:41,4170,90,2
RECUERDOS de nuestra INFANCIA,2021-12-10T11:45:03Z,98,c4y9Mho4gtg,0:17:07,5222,122,8
MANOLITO GAFOTAS y otros libros que nos iniciaron en la LECTURA,2021-12-09T10:45:00Z,99,HM7IkBIlon8,0:10:41,3271,62,2
TRAUMITAS de la infancia y alguna HOSTIEJA que otra,2021-12-08T11:45:01Z,100,O8jfzoXcTiw,0:14:58,7346,160,4
LA INFANCIA con ELVIRA LINDO | Estirando el chicle 4x12,2021-12-05T12:00:11Z,101,Z4JAR4GzuYA,1:17:22,257619,7042,301
la IMPORTANCIA de vernos REPRESENTADAS en la FICCIÓN,2021-12-03T11:45:00Z,102,AikR-fdcQMI,0:09:34,5035,121,5
Insistir en las REIVINDICACIONES FUNCIONA,2021-12-02T11:45:01Z,103,LI2_45qoo4g,0:13:26,7185,172,5
Meterse en POLÉMICAS en REDES SOCIALES,2021-12-01T11:45:03Z,104,T4ahHYXcSPU,0:14:41,7524,172,8
LETICIA DOLERA dejó TIRADA a HENAR ÁLVAREZ,2021-11-30T11:45:00Z,105,-MKK99XZq6c,0:12:53,51967,1137,19
SER POLÉMICAS con LETICIA DOLERA | Estirando el chicle 4x11,2021-11-28T12:00:10Z,106,oMDiiAueqrg,1:00:24,243523,8822,421
SER MAYOR no significa querer DEJAR DE HACER COSAS,2021-11-26T10:45:01Z,107,vN2d-oJVsvU,0:10:06,4547,105,5
CARMENA y el S*XO,2021-11-25T11:45:01Z,108,_c7PBvN27_w,0:10:09,8352,230,4
"HACERSE MAYOR, según MANUELA CARMENA",2021-11-23T11:45:01Z,109,MULgbjHJVZ0,0:10:02,6748,207,3
MANUELA CARMENA fue una HIPPIE FIESTERA,2021-11-23T10:45:01Z,110,8dTAGyZTAyg,0:13:08,3982,125,0
SER VIEJA con MANUELA CARMENA | Estirando el chicle 4x10,2021-11-21T12:00:09Z,111,pYttj6zjwyw,1:00:38,282729,11591,474
La PITONISA que ENGAÑÓ a VICTORIA MARTÍN,2021-11-19T09:45:00Z,112,KpnDFByGpFo,0:07:44,11302,228,3
Hay mucha CREATIVIDAD PERDIENDO EL TIEMPO,2021-11-17T11:45:02Z,113,YTGye8c1i8U,0:11:10,5595,134,2
TODAS hemos PERDIDO EL TIEMPO con GENTE QUE NO MERECÍA,2021-11-16T11:45:01Z,114,1y4yyq2xtYg,0:11:17,11893,269,11
PERDER EL TIEMPO con NADIA DE SANTIAGO | Estirando el chicle 4x09,2021-11-14T12:05:09Z,115,tWAf7-QJrWQ,0:54:51,240658,7209,355
Nuestras EXPERIENCIAS PARANORMALES,2021-11-12T10:45:00Z,116,atf9cwVVq3c,0:11:15,10577,256,9
VICTORIA MARTÍN fue a una reunión de una ESTAFA PIRAMIDAL,2021-11-11T10:45:05Z,117,VrfZfvnpc-U,0:09:31,8948,222,4
Cómo fue CRECIENDO el canal de GATA DE SCHRÖDINGER,2021-11-10T10:45:03Z,118,qn103f7B1EQ,0:10:19,6320,182,7
Es muy FÁCIL ENGAÑAR a PATRICIA ESPEJO,2021-11-09T10:45:01Z,119,WVI85MN-ycs,0:15:06,22948,635,26
PAJARRACAS SOSPECHOSAS con GATA DE SCHRÖDINGER | Estirando el chicle 4x08,2021-11-07T12:00:09Z,120,Lb3bKAH-sqs,1:10:22,267733,12762,561
Hay que PARAR de SABOTEARNOS a NOSOTRAS MISMAS,2021-11-06T09:45:01Z,121,3aCgDrm8Du0,0:10:09,4696,152,4
Las PEORES CITAS de CAROLINA IGLESIAS y VICTORIA MARTÍN,2021-11-05T10:45:01Z,122,jmbh8lB5vnk,0:08:17,19283,374,3
La REFLEXIÓN de ABRIL ZAMORA sobre el concepto de FRACASO,2021-11-04T11:45:02Z,123,n4qb9KpPg9U,0:09:28,4701,131,3
LIDIAR con NIÑOS en el TRABAJO,2021-11-03T11:59:29Z,124,7FAJMEGc1L4,0:10:19,6727,163,11
GESTIONAR EL FRACASO con ABRIL ZAMORA | Estirando el chicle 4x07,2021-10-31T12:00:11Z,125,yqoVkI5bfJA,1:07:54,236291,8170,306
VICTORIA MARTÍN es una MALDITA RATA,2021-10-29T10:45:04Z,126,mIGfMQNAAr8,0:08:35,9833,227,0
EXCENTRICIDADES de gente RICA y no TAN RICA,2021-10-28T10:45:05Z,127,sK6V5soEJy0,0:12:26,10633,294,7
CASARSE con un VIEJO por DINERO,2021-10-27T10:45:01Z,128,-EnEPy8LdUY,0:09:05,7132,161,11
Cuando despidieron a HENAR ÁLVAREZ en vez de a LA HIJA DEL JEFE,2021-10-26T10:45:00Z,129,42DUm7tqUEw,0:18:25,118042,2284,55
Los CUIDADOS DOMÉSTICOS deberían estar MEJOR PAGADOS,2021-10-25T14:07:42Z,130,-_SqyeRED1Q,0:10:16,7017,170,6
SE PUEDE SER RICA Y FEMINISTA con CHARO LÓPEZ | Estirando el chicle 4x06,2021-10-24T11:00:24Z,131,hyppwq7RQog,1:12:06,244718,8133,299
VIGO ES VIVALDI,2021-10-23T10:45:00Z,132,QuqQ35UXe40,0:09:44,12323,420,17
LLUM BARRERA lleva 21 AÑOS con LA MISMA PERSONA,2021-10-22T11:02:16Z,133,z1b7x06m3So,0:16:04,9761,238,0
PATRICIA ESPEJO trabajó en un club de INTERCAMBIO DE PAREJAS,2021-10-21T10:45:01Z,134,YLhg18Dodmk,0:16:30,23485,638,15
¿Existe el AMOR para TODA LA VIDA?,2021-10-20T10:15:00Z,135,-J2aOQUGtz0,0:09:21,9334,242,8
Está en TU BIOLOGÍA no ser UNA RATA,2021-10-19T10:45:01Z,136,sX1DjxtZKrw,0:07:35,7839,186,3
